CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
476,fed/metabolite,vitamin,ascorbic acid,vitamin C; L-ascorbic acid; (+)-ascorbic acid,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one","(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,176.032088,C6H8O6,C6H8O6,176.12,176.12,50-81-7,50-81-7,commercial,HMDB0000044,HMDB0000044,54670067,54670067,CP1
312,Metabolite,coumarin metbolites,o-hydroxyphenylpropionic acid (o-HPAA),3-(2-Hydroxyphenyl)propanoic acid,3-(2-hydroxyphenyl)propanoic acid,3-(2-hydroxyphenyl)propanoic acid,CJBDUOMQLFKVQC-UHFFFAOYSA-N ,CJBDUOMQLFKVQC-UHFFFAOYSA-N ,166.0629942,C9H10O3,C9H10O3,166.1739,166.1739,495-78-3,495-78-3,Commercial,HMDB0033752,HMDB0033752,873,873,CP03
305,Metabolite,coumarin metbolites,6-hydroxycoumarin,6-hydroxycoumarin; 6-hydroxy-2H-chromen-2-one,6-hydroxychromen-2-one,6-hydroxychromen-2-one,CJIJXIFQYOPWTF-UHFFFAOYSA-N,CJIJXIFQYOPWTF-UHFFFAOYSA-N,162.031694,C9H6O3,C9H6O3,162.14,162.14,6093-68-1,6093-68-1,Commercial,HMDB0140948,HMDB0140948,99477,99477,CP03
5,Food,amino acid,phenylalanine,L-phenylalanine,(2S)-2-amino-3-phenylpropanoic acid,(2S)-2-amino-3-phenylpropanoic acid,COLNVLDHVKWLRT-QMMMGPOBSA-N,COLNVLDHVKWLRT-QMMMGPOBSA-N,165.0789786,C9H11NO2,C9H11NO2,165.1891,165.1891,63-91-2,63-91-2,Commercial,HMDB0000159,HMDB0000159,6140,6140,CP1
396,metabolite,phenylethanol,4-hydroxyphenylethanol-3-O-Glucuronide,3'-hydroxytyrosol 3'-Glucuronide   ; 4-hydroxyphenylethanol-3-O-Glucuronide  ; Hydroxytyrosol-3-glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-hydroxy-5-(2-hydroxyethyl)phenoxy]oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-hydroxy-5-(2-hydroxyethyl)phenoxy]oxane-2-carboxylic acid",CPHMFZSEPDNJAZ-BYNIDDHOSA-N,CPHMFZSEPDNJAZ-BYNIDDHOSA-N,330.095082,C14H18O9,C14H18O9,330.29,330.29,425408-50-0,425408-50-0,synthetic,HMDB024052,HMDB024052,101422215,101422215  ,CP1
301,metabolite,flavonol,isorhamnetin 3-O-glucoside,Isorhamnetin 3-O-glucoside; Isorhamnetin-3-O-beta-D-Glucoside; sor-O-gluc,"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",CQLRUIIRRZYHHS-LFXZADKFSA-N,CQLRUIIRRZYHHS-LFXZADKFSA-N,478.111126,C22H22O12,C22H22O12,478.41,478.41,5041-82-7,5041-82-7,commercial,N/A,N/A,5318645,5318645,CP1
62,Daidzein Metabolite,Daidzein Metabolite,daidzein-4-sulfate,daidzein-4'-sulfate,[4-(7-hydroxy-4-oxochromen-3-yl)phenyl] hydrogen sulfate,[4-(7-hydroxy-4-oxochromen-3-yl)phenyl] hydrogen sulfate,CQRHJEVIKOKQMO-UHFFFAOYSA-N,CQRHJEVIKOKQMO-UHFFFAOYSA-N,334.014724,C15H10O7S,C15H10O7S,334.3,334.3,162935-26-4,162935-26-4,Not Established,N/A,N/A,12114463 ,12114463 ,CP2
169,metabolite,benzoic acid methyl ester,"3,4-dihydroxybenzoic acid methyl ester   ","Methyl 3,4-dihydroxybenzoate; 3,4-diOH-BA-M","methyl 3,4-dihydroxybenzoate","methyl 3,4-dihydroxybenzoate",CUFLZUDASVUNOE-UHFFFAOYSA-N,CUFLZUDASVUNOE-UHFFFAOYSA-N,168.042259,C8H8O4,C8H8O4,168.15,168.15,2150-43-8,2150-43-8,commercial,NA,NA,287064,287064,CP1
193,fed/metabolite,caffeoylquinic acid,3-O caffeoylquinic acid,Chlorogenic Acid  [CLGA]; CHGA,"(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid","(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid",CWVRJTMFETXNAD-JUHZACGLSA-N,CWVRJTMFETXNAD-JUHZACGLSA-N,354.0950822,C16H18O9,C16H18O9,354.311,354.311,327-97-9,327-97-9,Commercial,HMDB0003164,HMDB0003164,1794427,1794427,CP1
216,Metabolite,benzoic acid metabolites,4-Hydroxybenzoic acid-3-O-glucuronide,Protocatechuic acid-3-O-glucuronide,"6-(5-carboxy-2-hydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid","6-(5-carboxy-2-hydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",CXNFDJSOAJNKSU-UHFFFAOYSA-N,CXNFDJSOAJNKSU-UHFFFAOYSA-N,330.0586967,C13H14O10,C13H14O10,330.245,330.245,No CAS,No CAS,Commercial,HMDB0124991,HMDB0124991,92024354,92024354,CP03
298,metabolite,flavanonol,taxifolin   ,Distylin; Taxifoliol,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one","(2R,3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one",CXQWRCVTCMQVQX-LSDHHAIUSA-N,CXQWRCVTCMQVQX-LSDHHAIUSA-N,304.058303,C15H12O7,C15H12O7,304.254,304.254,480-18-2 ,480-18-2 ,commercial,N/A,N/A,439533,439533,CP1
22,Fed,Phenolic acid,Avenalumic acid,N/A,"(2E,4E)-5-(4-hydroxyphenyl)penta-2,4-dienoic acid","(2E,4E)-5-(4-hydroxyphenyl)penta-2,4-dienoic acid",CYYTUYSFBHDJRH-ZPUQHVIOSA-N,CYYTUYSFBHDJRH-ZPUQHVIOSA-N,190.062994,C11H10O3,C11H10O3,190.19,190.19,135754-92-6,135754-92-6,data not pulled from DB,HMDB0040731,HMDB0040731,21951591,21951591,CP05
133,Fed,sugar,sucrose,sugar,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",CZMRCDWAGMRECN-UGDNZRGBSA-N,CZMRCDWAGMRECN-UGDNZRGBSA-N,342.116212,C12H22O11,C12H22O11,342.3,342.3,57-50-1,57-50-1,Commercial,HMDB0000258,HMDB0000258,5988,5988,CP03
102,Metabolite,linarin metabolites,acacetin ,"5,7-Dihydroxy-4'-methoxyflavone","5,7-dihydroxy-2-(4-methoxyphenyl)chromen-4-one","5,7-dihydroxy-2-(4-methoxyphenyl)chromen-4-one",DANYIYRPLHHOCZ-UHFFFAOYSA-N,DANYIYRPLHHOCZ-UHFFFAOYSA-N,284.068473,C16H12O5,C16H12O5,284.26,284.26,480-44-4,480-44-4,data not pulled from DB,HMDB0132457,HMDB0132457,5280442,5280442,CP05
6,Food/Metabolite,amino acid,theanine   ,glutamine,(2S)-2-amino-5-(ethylamino)-5-oxopentanoic acid,(2S)-2-amino-5-(ethylamino)-5-oxopentanoic acid,DATAGRPVKZEWHA-YFKPBYRVSA-N,DATAGRPVKZEWHA-YFKPBYRVSA-N,174.1004423,C7H14N2O3,C7H14N2O3,174.2,174.2,3081-61-6,3081-61-6,commercial,HMDB0034365,HMDB0034365,439378,439378,CP1
134,metabolite,benzoic acid,"3,4-dimethoxybenzoic acid   ",Veratric Acid,"3,4-dimethoxybenzoic acid","3,4-dimethoxybenzoic acid",DAUAQNGYDSHRET-UHFFFAOYSA-N,DAUAQNGYDSHRET-UHFFFAOYSA-N,182.057909,C9H10O4,C9H10O4,182.17,182.17,93-07-2,93-07-2,commercial,HMDB0059763,HMDB0059763,7121,7121,CP1
240,Metabolite,cinnamic acid metabolites,4-methoxycinnamic acid-3-sulfate,Isoferulic acid-3'-sulfate,(E)-3-(4-methoxy-3-sulfooxyphenyl)prop-2-enoic acid,(E)-3-(4-methoxy-3-sulfooxyphenyl)prop-2-enoic acid,DCMKMHVTKFJMAU-HWKANZROSA-N,DCMKMHVTKFJMAU-HWKANZROSA-N,274.014724,C10H10O7S,C10H10O7S,274.25,274.25,1258842-19-1,1258842-19-1,Commercial,HMDB0041748,HMDB0041748,71749556,71749556,CP03
295,Metabolite,valerolactone metabolites,5-(4'-hydroxyphenyl)-γ-valerolactone-3'-O-glucuronide,5-(4'-Hydroxyphenyl)-g-valerolactone-4'-O-glucuronide,"5-[[4-[6-(dihydroxymethyl)-3,4,5-trimethyloxan-2-yl]oxyphenyl]methyl]oxolan-2-one","5-[[4-[6-(dihydroxymethyl)-3,4,5-trimethyloxan-2-yl]oxyphenyl]methyl]oxolan-2-one",DCVIOAHIQDCAHO-UHFFFAOYSA-N,DCVIOAHIQDCAHO-UHFFFAOYSA-N,364.188588628,C20H28O6,C20H28O6,364.4,364.4,383-325.1-S,383-325.1-S,Commercial,HMDB0059992,HMDB0059992,124202063,124202063,CP03
13,Fed,Flavonol ,myricetin,Myricitrin,"5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one","5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one",DCYOADKBABEMIQ-OWMUPTOHSA-N,DCYOADKBABEMIQ-OWMUPTOHSA-N,464.095476,C21H20O12,C21H20O12,464.4,464.4,17912-87-7,17912-87-7,data not pulled from DB,HMDB0034360,HMDB0034360,5281673,5281673,CP05
184,Metabolite,hesperetin metabolites,"Hesperetin-5,7-O-diglucuronide","Hesperetin 5,7-O-diglucuronide","(2S,3S,4S,5R,6S)-6-[[5-[(2S,3R,4S,5S,6S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[[5-[(2S,3R,4S,5S,6S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",DDHZYRQUEFLRIC-HXPBIGRZSA-N,DDHZYRQUEFLRIC-HXPBIGRZSA-N,654.143214156,C28H30O18,C28H30O18,654.527,654.527,No CAS,No CAS,Commercial,HMDB0041744,HMDB0041744,131753195,131753195,CP03
176,metabolite,benzoic acid methyl ester,4-methoxybenzoic acid methyl ester   ,methyl 4-methoxybenzoate; Methyl 4-methoxybenzoate; Methyl p-anisate; p-Anisic acid methyl ester; 4-methoxybenzoic acid methyl ester; Methyl Anisate,methyl 4-methoxybenzoate,methyl 4-methoxybenzoate,DDIZAANNODHTRB-UHFFFAOYSA-N,DDIZAANNODHTRB-UHFFFAOYSA-N,166.0629942,C9H10O3,C9H10O3,166.17,166.17,121-98-2,121-98-2,commercial,HMDB0032639,HMDB0032639,8499,8499,CP1
212,fed/metabolite,catecholamine,dopamine 4-sulfate,N/A,[4-(2-aminoethyl)-2-hydroxyphenyl] hydrogen sulfate,[4-(2-aminoethyl)-2-hydroxyphenyl] hydrogen sulfate,DEKNNWJXAQTLFA-UHFFFAOYSA-N,DEKNNWJXAQTLFA-UHFFFAOYSA-N,233.0357932,C8H11NO5S,C8H11NO5S,233.242,233.242,38339-02-5,38339-02-5,Commercial,HMDB04148,HMDB04148,123932,123932,CP1
188,Metabolite,flavanone metabolite,Naringenin-4-O-glucuronide,Naringenin 4'-O-Beta-D-Glucuronide,"(2S,3S,4S,5R,6S)-6-[4-[(2S)-5,7-dihydroxy-4-oxo-2,3-dihydrochromen-2-yl]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[4-[(2S)-5,7-dihydroxy-4-oxo-2,3-dihydrochromen-2-yl]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",DFIUUCDSSKATFP-CGXGPNJMSA-N,DFIUUCDSSKATFP-CGXGPNJMSA-N,448.100561,C21H20O11,C21H20O11,448.4,448.4,158196-35-1,158196-35-1,Commercial,HMDB0041759,HMDB0041759,52224404  ,52224404  ,CP04
296,fed/metabolite,flavanone,naringin,N/A,"(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one","(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",DFPMSGMNTNDNHN-ZPHOTFPESA-N,DFPMSGMNTNDNHN-ZPHOTFPESA-N,580.1792057,C27H32O14,C27H32O14,580.5346,580.5346,10236-47-2,10236-47-2,Commercial,HMDB0002927,HMDB0002927,442428,442428,CP1
330,Metabolite,resveratrol metabolites,"trans-resveratrol-3,4-O-disulfate","trans-resveratrol-3,4-O-disulfate",[3-hydroxy-5-[(E)-2-(4-sulfooxyphenyl)ethenyl]phenyl] hydrogen sulfate,[3-hydroxy-5-[(E)-2-(4-sulfooxyphenyl)ethenyl]phenyl] hydrogen sulfate,DHYDAGFKCXRMSL-OWOJBTEDSA-N,DHYDAGFKCXRMSL-OWOJBTEDSA-N,387.9922734,C14H12O9S2,C14H12O9S2,388.37,388.37,No CAS,No CAS,Commercial,HMDB0041780,HMDB0041780,46855052  ,46855052  ,CP03
31,Estradiol Metabolites,Estradiol Metabolites,2-hydroxyestradiol,2-OH-Estradiol,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-2,3,17-triol","(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-2,3,17-triol",DILDHNKDVHLEQB-XSSYPUMDSA-N,DILDHNKDVHLEQB-XSSYPUMDSA-N,288.172545,C18H24O3,C18H24O3,288.4,288.4,362-05-0,362-05-0,Not Established,HMDB0000338,HMDB0000338,247304,247304,CP2
55,Genistein Metabolite,Genistein Metabolite,genistein-7-sulfate,N/A,[5-hydroxy-3-(4-hydroxyphenyl)-4-oxochromen-7-yl] hydrogen sulfate,[5-hydroxy-3-(4-hydroxyphenyl)-4-oxochromen-7-yl] hydrogen sulfate,DKEIWIJUHWVGRC-UHFFFAOYSA-N,DKEIWIJUHWVGRC-UHFFFAOYSA-N,350.009638,C15H10O8S,C15H10O8S,350.3,350.3,No CAS,No CAS,Not Established,HMDB0240522,HMDB0240522,10291508  ,10291508  ,CP2
227,Metabolite,benzoic acid metabolites,benzoic acid-4-O-glucuronide,n/a,"6-(4-carboxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid","6-(4-carboxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",DKNOHNCMCYDVLT-UHFFFAOYSA-N,DKNOHNCMCYDVLT-UHFFFAOYSA-N,314.063782,C13H14O9,C13H14O9,314.246,314.246,No CAS,No CAS,Commercial,HMDB0125174,HMDB0125174,131637326 ,131637326 ,CP03
265,Metabolite,Gossypetin metabolites,Gossypetin-3-O-sulfate,Gossypetin 3-O-sulfate,"[2-(3,4-dihydroxyphenyl)-5,7,8-trihydroxy-4-oxochromen-3-yl] hydrogen sulfate","[2-(3,4-dihydroxyphenyl)-5,7,8-trihydroxy-4-oxochromen-3-yl] hydrogen sulfate",DKWTYAUCZMJXTJ-UHFFFAOYSA-N,DKWTYAUCZMJXTJ-UHFFFAOYSA-N,397.994382,C15H10O11S,C15H10O11S,398.3,398.3,No CAS,No CAS,Commercial,N/A,N/A,44260032,44260032,CP03
221,metabolite,cinnamaldehyde,4-hydroxy-3-methoxycinnamaldehyde,coniferaldehyde; (2E)-3-(4-Hydroxy-3-methoxyphenyl)acrylaldehyde; 3-Methoxy-4-hydroxycinnamaldehyde,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enal,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enal,DKZBBWMURDFHNE-NSCUHMNNSA-N,DKZBBWMURDFHNE-NSCUHMNNSA-N,178.062994,C10H10O3,C10H10O3,178.18,178.18,"458-36-6, 20649-42-7","458-36-6, 20649-42-7",commercial,N/A,N/A,5280536,5280536,CP1
68,formononetin metabolite,formononetin metabolite,"7,8-dihydroxy-4-methoxyisoflavone","7,8-dihydroxy-3-(4-methoxyphenyl)-4H-chromen-4-one","7,8-dihydroxy-3-(4-methoxyphenyl)chromen-4-one","7,8-dihydroxy-3-(4-methoxyphenyl)chromen-4-one",DLXIJJURUIXRFK-UHFFFAOYSA-N,DLXIJJURUIXRFK-UHFFFAOYSA-N,284.068473,C16H12O5,C16H12O5,284.26,284.26,37816-19-6,37816-19-6,Not Established,HMDB0141945,HMDB0141945,5481240 ,5481240 ,CP2
263,Metabolite,Gossypetin metabolites,Gossypetin-8-O-glucoside-3-sulfate,Gossypetin 8-glucoside-3-sulfate,"[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-8-[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-3-yl] hydrogen sulfate","[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-8-[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-3-yl] hydrogen sulfate",DMAOYRIREVHKFQ-DLBNBXSVSA-N,DMAOYRIREVHKFQ-DLBNBXSVSA-N,560.047206,C21H20O16S,C21H20O16S,560.4,560.4,No CAS,No CAS,Commercial,HMDB0037751,HMDB0037751,44260019,44260019,CP03
190,Metabolite,quercetin metabolites,Quercetin-3-sulfate,Quercetin 3-Sulfate,"[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl] hydrogen sulfate","[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl] hydrogen sulfate",DNAYVNOVGHZZLH-UHFFFAOYSA-N ,DNAYVNOVGHZZLH-UHFFFAOYSA-N,381.999468,C15H10O10S,C15H10O10S,382.3,382.3,60889-05-6,60889-05-6,Commercial,N/A,N/A,5280362  ,5280362  ,CP03
30,Estradiol Metabolites,Estradiol Metabolites,Estrone ,Folliculin,"(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one","(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",DNXHEGUUPJUMQT-CBZIJGRNSA-N,DNXHEGUUPJUMQT-CBZIJGRNSA-N,270.16198,C18H22O2,C18H22O2,270.4,270.4,53-16-7,53-16-7,Not Established,HMDB0000145,HMDB0000145,5870 ,5870 ,CP2
426,metabolite,phenylpropanoic acid,rosmarinic acid   ,Rosemary Acid; trans-Rosmarinic Acid,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxypropanoic acid","(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxypropanoic acid",DOUMFZQKYFQNTF-WUTVXBCWSA-N,DOUMFZQKYFQNTF-WUTVXBCWSA-N,360.084517,C18H16O8,C18H16O8,360.31,360.31,20283-92-5,20283-92-5,commercial,HMDB0003572,HMDB0003572,5281792,5281792,CP1
190,Metabolite,Avenanthramide metabolites,4-hydroxyanthranilic acid,2-amino-4-hydroxy-benzoic Acid; 2-amino-4-hydroxybenzoic Acid,2-amino-4-hydroxybenzoic acid,2-amino-4-hydroxybenzoic acid,DPELYVFAULJYNX-UHFFFAOYSA-N,DPELYVFAULJYNX-UHFFFAOYSA-N,153.042593,C7H7NO3,C7H7NO3,153.14,153.14,38160-63-3,38160-63-3,data not pulled from DB,N/A,N/A,11182709,11182709,CP05
467,metabolite,valerolactone,5-(phenyl)-gamma-valerolactone-3'-sulfate,5-(Phenyl)-gamma-valerolactone-3-sulfate; 5-(Hydroxyphenyl)-gamma-valerolactone-O-sulphate,[3-[(5-oxooxolan-2-yl)methyl]phenyl] hydrogen sulfate,[3-[(5-oxooxolan-2-yl)methyl]phenyl] hydrogen sulfate,DPRDYFJWDRNYAZ-UHFFFAOYSA-N,DPRDYFJWDRNYAZ-UHFFFAOYSA-N,272.0354588,C11H12O6S,C11H12O6S,272.271,272.271,NA,NA,synthetic,HMDB0059993,HMDB0059993,124202065,124202065,CP1
307,Metabolite,coumarin metbolites,8-hydroxycoumarin,8-hydroxycoumarin; 8-hydroxy-2H-chromen-2-one,8-hydroxychromen-2-one,8-hydroxychromen-2-one,DPTUTXWBBUARQB-UHFFFAOYSA-N,DPTUTXWBBUARQB-UHFFFAOYSA-N,162.031694,C9H6O3,C9H6O3,162.14,162.14,2442-31-1,2442-31-1,Commercial,HMDB0140949,HMDB0140949,122783,122783,CP03
317,Metabolite,resveratrol metabolites,dihydroxyresveratrol,dihydroxyresveratrol,"5-[1,2-dihydroxy-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol","5-[1,2-dihydroxy-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",DPWNUQNRFUFJMF-UHFFFAOYSA-N,DPWNUQNRFUFJMF-UHFFFAOYSA-N,260.068473,C14H12O5,C14H12O5,260.24,260.24,No CAS,No CAS,Commercial,N/A,N/A,129650320  ,129650320  ,CP03
183,Metabolite,hesperetin metabolites,"Hesperetin-3,7-O-diglucuronide","Hesperetin 3',7-O-diglucuronide","(2S,3S,4S,5R,6S)-6-[[2-[3-[(2S,3R,4S,5S,6S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-4-methoxyphenyl]-5-hydroxy-4-oxo-2,3-dihydrochromen-7-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[[2-[3-[(2S,3R,4S,5S,6S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-4-methoxyphenyl]-5-hydroxy-4-oxo-2,3-dihydrochromen-7-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",DRQALSJOSDMKCR-HXPBIGRZSA-N ,DRQALSJOSDMKCR-HXPBIGRZSA-N ,654.143214,C28H30O18,C28H30O18,654.5,654.5,No CAS,No CAS,Commercial,HMDB0041742,HMDB0041742,131753194,131753194,CP03
318,metabolite,flavonol,quercetin-3-O-glucuronide,Quercituron; Miquelianin,"(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",DUBCCGAQYVUYEU-ZUGPOPFOSA-N,DUBCCGAQYVUYEU-ZUGPOPFOSA-N,478.0747407,C21H18O13,C21H18O13,478.362,478.362,22688-79-5,22688-79-5,commercial,HMDB0029212,HMDB0029212,5274585,5274585,CP1
173,metabolite,benzoic acid methyl ester,3-methoxybenzoic acid methyl ester   ,methyl 3-methoxybenzoate,methyl 3-methoxybenzoate,methyl 3-methoxybenzoate,DUKYPQBGYRJVAN-UHFFFAOYSA-N,DUKYPQBGYRJVAN-UHFFFAOYSA-N,166.062994,C9H10O3,C9H10O3,166.17,166.17,5368-81-0,5368-81-0,commercial,N/A,N/A,79332,79332,CP1
326,Metabolite,resveratrol metabolites,trans-resveratrol-3-O-sulfate,trans-resveratrol-3-O-sulfate,[3-hydroxy-5-[(E)-2-(4-hydroxyphenyl)ethenyl]phenyl] hydrogen sulfate,[3-hydroxy-5-[(E)-2-(4-hydroxyphenyl)ethenyl]phenyl] hydrogen sulfate,DULQFFCIVGYOFH-OWOJBTEDSA-N,DULQFFCIVGYOFH-OWOJBTEDSA-N,308.0354588,C14H12O6S,C14H12O6S,308.306,308.306,553662-69-4,553662-69-4,Commercial,HMDB0041772,HMDB0041772,25113755,25113755,CP03
325,Metabolite,resveratrol metabolites,cis-resveratrol-3-sulfate,cis-resveratrol-3-O-sulfate,[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenyl] hydrogen sulfate,[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenyl] hydrogen sulfate,DULQFFCIVGYOFH-UPHRSURJSA-N,DULQFFCIVGYOFH-UPHRSURJSA-N,308.0354588,C14H12O6S,C14H12O6S,308.306,308.306,No CAS,No CAS,Commercial,HMDB0041712,HMDB0041712,129848988,129848988,CP03
201,fed/metabolite,carboxylic acid,5-hydroxyindoleacetate,N/A,2-(5-hydroxy-1H-indol-3-yl)acetic acid,2-(5-hydroxy-1H-indol-3-yl)acetic acid,DUUGKQCEGZLZNO-UHFFFAOYSA-N,DUUGKQCEGZLZNO-UHFFFAOYSA-N,191.0582432,C10H9NO3,C10H9NO3,191.19,191.19,54-16-0,54-16-0,Commercial,HMDB0000763,HMDB0000763,1826,1826,CP1
16,Diet/Food,lignan,enterodiol,(-)-Enterodiol,"(2R,3R)-2,3-bis[(3-hydroxyphenyl)methyl]butane-1,4-diol  ","(2R,3R)-2,3-bis[(3-hydroxyphenyl)methyl]butane-1,4-diol  ",DWONJCNDULPHLV-HOTGVXAUSA-N,DWONJCNDULPHLV-HOTGVXAUSA-N,302.151809,C18H22O4,C18H22O4,302.4,302.4,80226-00-2,80226-00-2,Not Established,HMDB0005056,HMDB0005056,115089,115089,CP2
